,Comuna,Ambientes,Period,Variance
0,1,1,2018 - 2do. trim.,14.68276283811819
1,2,1,2018 - 2do. trim.,3.976135105306993
2,3,1,2018 - 2do. trim.,6.868433414945506
3,4,1,2018 - 2do. trim.,
4,5,1,2018 - 2do. trim.,1.3699551552462965
5,6,1,2018 - 2do. trim.,3.2564354078004216
6,7,1,2018 - 2do. trim.,5.905872890580027
7,8,1,2018 - 2do. trim.,
8,9,1,2018 - 2do. trim.,
9,10,1,2018 - 2do. trim.,18.297056379877667
10,11,1,2018 - 2do. trim.,3.0744430956155986
11,12,1,2018 - 2do. trim.,11.7902814494955
12,13,1,2018 - 2do. trim.,13.060574806144237
13,14,1,2018 - 2do. trim.,14.096556880388572
14,15,1,2018 - 2do. trim.,3.308112723749697
15,1,2,2018 - 2do. trim.,13.014680369547357
16,2,2,2018 - 2do. trim.,7.540528343282067
17,3,2,2018 - 2do. trim.,5.156446984681354
18,4,2,2018 - 2do. trim.,3.6649081392204583
19,5,2,2018 - 2do. trim.,6.114734722196395
20,6,2,2018 - 2do. trim.,10.965053997735708
21,7,2,2018 - 2do. trim.,4.892992282307482
22,8,2,2018 - 2do. trim.,
23,9,2,2018 - 2do. trim.,5.025348032509872
24,10,2,2018 - 2do. trim.,9.013061134748048
25,11,2,2018 - 2do. trim.,5.918472897271617
26,12,2,2018 - 2do. trim.,10.1867177604005
27,13,2,2018 - 2do. trim.,10.667004572325114
28,14,2,2018 - 2do. trim.,7.381463550312388
29,15,2,2018 - 2do. trim.,9.697884814227082
30,1,3,2018 - 2do. trim.,6.015505846566162
31,2,3,2018 - 2do. trim.,3.597975863431355
32,3,3,2018 - 2do. trim.,9.956197017420083
33,4,3,2018 - 2do. trim.,8.351944784370597
34,5,3,2018 - 2do. trim.,8.11887134733064
35,6,3,2018 - 2do. trim.,1.2792991230231154
36,7,3,2018 - 2do. trim.,14.33498122962343
37,8,3,2018 - 2do. trim.,
38,9,3,2018 - 2do. trim.,
39,10,3,2018 - 2do. trim.,13.369835094800584
40,11,3,2018 - 2do. trim.,5.165940627128843
41,12,3,2018 - 2do. trim.,4.609386756785941
42,13,3,2018 - 2do. trim.,4.780058801174192
43,14,3,2018 - 2do. trim.,2.870912952180413
44,15,3,2018 - 2do. trim.,4.385865143717561
45,1,1,2018 - 3er. trim.,5.942048911070738
46,2,1,2018 - 3er. trim.,7.913350520018601
47,3,1,2018 - 3er. trim.,16.21529087426053
48,4,1,2018 - 3er. trim.,
49,5,1,2018 - 3er. trim.,14.695374437473221
50,6,1,2018 - 3er. trim.,5.490353813056192
51,7,1,2018 - 3er. trim.,4.16114772419318
52,8,1,2018 - 3er. trim.,
53,9,1,2018 - 3er. trim.,
54,10,1,2018 - 3er. trim.,2.6640522875816974
55,11,1,2018 - 3er. trim.,8.232441014078736
56,12,1,2018 - 3er. trim.,5.7335963719325
57,13,1,2018 - 3er. trim.,1.4351032630842362
58,14,1,2018 - 3er. trim.,2.6285250891478427
59,15,1,2018 - 3er. trim.,5.771677601951302
60,1,2,2018 - 3er. trim.,7.29310327298537
61,2,2,2018 - 3er. trim.,5.362887128896831
62,3,2,2018 - 3er. trim.,11.388500478675716
63,4,2,2018 - 3er. trim.,8.005218026703234
64,5,2,2018 - 3er. trim.,8.719432888615696
65,6,2,2018 - 3er. trim.,8.321641550760841
66,7,2,2018 - 3er. trim.,8.841291593962499
67,8,2,2018 - 3er. trim.,
68,9,2,2018 - 3er. trim.,16.445779173969356
69,10,2,2018 - 3er. trim.,3.4976294505417282
70,11,2,2018 - 3er. trim.,10.604137317454574
71,12,2,2018 - 3er. trim.,6.469330134459647
72,13,2,2018 - 3er. trim.,6.028481523420358
73,14,2,2018 - 3er. trim.,6.337738629346269
74,15,2,2018 - 3er. trim.,9.480072855557262
75,1,3,2018 - 3er. trim.,1.0981969317789106
76,2,3,2018 - 3er. trim.,3.993834894574116
77,3,3,2018 - 3er. trim.,5.2233819934767265
78,4,3,2018 - 3er. trim.,7.502353571946541
79,5,3,2018 - 3er. trim.,2.1464828139880727
80,6,3,2018 - 3er. trim.,5.012968369915876
81,7,3,2018 - 3er. trim.,12.881303000652302
82,8,3,2018 - 3er. trim.,
83,9,3,2018 - 3er. trim.,
84,10,3,2018 - 3er. trim.,-0.6192251237412562
85,11,3,2018 - 3er. trim.,6.415306275273328
86,12,3,2018 - 3er. trim.,2.973104418991222
87,13,3,2018 - 3er. trim.,7.729493019584943
88,14,3,2018 - 3er. trim.,6.114194220182864
89,15,3,2018 - 3er. trim.,8.561774552061818
90,1,1,2018 - 4to. trim.,2.545985241269586
91,2,1,2018 - 4to. trim.,7.166076717474536
92,3,1,2018 - 4to. trim.,1.779298796441655
93,4,1,2018 - 4to. trim.,
94,5,1,2018 - 4to. trim.,11.048780487804882
95,6,1,2018 - 4to. trim.,7.672258651717942
96,7,1,2018 - 4to. trim.,14.224124315373832
97,8,1,2018 - 4to. trim.,
98,9,1,2018 - 4to. trim.,
99,10,1,2018 - 4to. trim.,5.367847411444142
100,11,1,2018 - 4to. trim.,11.618406354086597
101,12,1,2018 - 4to. trim.,10.149019019019013
102,13,1,2018 - 4to. trim.,14.850463098371838
103,14,1,2018 - 4to. trim.,8.307509058087174
104,15,1,2018 - 4to. trim.,6.308830374360003
105,1,2,2018 - 4to. trim.,-0.7037503987361947
106,2,2,2018 - 4to. trim.,5.519808026158972
107,3,2,2018 - 4to. trim.,11.314750084451171
108,4,2,2018 - 4to. trim.,6.454006022492657
109,5,2,2018 - 4to. trim.,7.328083090138132
110,6,2,2018 - 4to. trim.,8.09640945386339
111,7,2,2018 - 4to. trim.,8.324430931054318
112,8,2,2018 - 4to. trim.,
113,9,2,2018 - 4to. trim.,3.6721489650763233
114,10,2,2018 - 4to. trim.,13.38251804330394
115,11,2,2018 - 4to. trim.,7.902210198797152
116,12,2,2018 - 4to. trim.,6.087514527929548
117,13,2,2018 - 4to. trim.,4.825883130302238
118,14,2,2018 - 4to. trim.,2.37316756578129
119,15,2,2018 - 4to. trim.,3.690153838043954
120,1,3,2018 - 4to. trim.,7.134018399956959
121,2,3,2018 - 4to. trim.,9.003810560696788
122,3,3,2018 - 4to. trim.,1.5730480193605911
123,4,3,2018 - 4to. trim.,7.59323852964851
124,5,3,2018 - 4to. trim.,11.476974469100455
125,6,3,2018 - 4to. trim.,7.007642563198119
126,7,3,2018 - 4to. trim.,2.9106663412252867
127,8,3,2018 - 4to. trim.,
128,9,3,2018 - 4to. trim.,
129,10,3,2018 - 4to. trim.,13.499897882769417
130,11,3,2018 - 4to. trim.,13.012488577520562
131,12,3,2018 - 4to. trim.,11.510481220024788
132,13,3,2018 - 4to. trim.,4.058624577226606
133,14,3,2018 - 4to. trim.,5.742062889260216
134,15,3,2018 - 4to. trim.,5.380864301328401
135,1,1,2019 - 1er. trim.,4.982012368730733
136,2,1,2019 - 1er. trim.,9.614617395773585
137,3,1,2019 - 1er. trim.,12.769122139667891
138,4,1,2019 - 1er. trim.,
139,5,1,2019 - 1er. trim.,2.7679356756490985
140,6,1,2019 - 1er. trim.,4.96452394145472
141,7,1,2019 - 1er. trim.,8.241519773686345
142,8,1,2019 - 1er. trim.,
143,9,1,2019 - 1er. trim.,
144,10,1,2019 - 1er. trim.,8.453079829711042
145,11,1,2019 - 1er. trim.,2.4336991014405895
146,12,1,2019 - 1er. trim.,4.764391801755058
147,13,1,2019 - 1er. trim.,7.606437269432494
148,14,1,2019 - 1er. trim.,6.896783392181301
